Keywrd Phrase Txt,N,SumSearches,ReSearchPercent,SearchBounceRate
napkins,30,633,0.1895734597156398,0.052132701421800945
tom ford,57,1486,0.2759084791386272,0.08882907133243607
silhouette cameo,13,234,0.07692307692307693,0.05555555555555555
8x10 rugs on sale,5,77,0.15584415584415584,0.12987012987012986
lumbar pillow,57,1401,0.1655960028551035,0.06281227694503926
disney comforter,1,68,0.04411764705882353,0
eminence,45,1345,0.12936802973977696,0.06022304832713755
front doors,27,430,0.3488372093023256,0.28837209302325584
pool storage,15,225,0.22666666666666666,0.14222222222222222
shelf,70,4022,0.24888115365489807,0.12108403779214322
linen napkins,3,59,0.15254237288135594,0.03389830508474576
womens evening gowns,1,73,0.0547945205479452,0
26 inch counter stools,3,57,0.40350877192982454,0.05263157894736842
over the door mirror,4,55,0.10909090909090909,0.05454545454545454
chaise cushion,33,646,0.14086687306501547,0.09442724458204334
bangle bracelets,8,135,0.35555555555555557,0.07407407407407407
blankets,51,1293,0.1136890951276102,0.04717710750193349
carry on suitcase,7,137,0.2846715328467153,0.058394160583941604
invicta mens watch,25,472,0.13983050847457626,0.1292372881355932
drapery,3,82,0.18292682926829268,0
kids shoes,20,369,0.3008130081300813,0.06504065040650407
electric grills,5,77,0.14285714285714285,0.06493506493506493
Large Area Carpets,2,79,0.13924050632911392,0
laptop desks,4,60,0.25,0.11666666666666667
bathroom curtain set,4,74,0.2702702702702703,0
7 foot round natural fiber rugs,1,166,0.5180722891566265,0
mercury row,8,125,0.448,0.08
guest bed,7,115,0.2608695652173913,0.05217391304347826
vanity light,76,2892,0.2157676348547718,0.08160442600276625
strapless bra,2,64,0.0625,0
hampers,34,617,0.18962722852512157,0.06320907617504051
twin bedding sets,38,1080,0.25833333333333336,0.08148148148148149
navy blue large area rugs,2,58,0.3448275862068966,0.017241379310344827
men's shorts,9,492,0.06300813008130081,0.012195121951219513
light bulb,2,64,0.046875,0
behr premium plus ultra ul21416,13,216,0.47685185185185186,0.37037037037037035
console table,89,14396,0.12642400666851902,0.08905251458738539
modern chandelier,32,731,0.16415868673050615,0.05198358413132695
king size quilts,29,537,0.18063314711359404,0.08752327746741155
food processor,14,239,0.18828451882845187,0.08786610878661087
behr premium plus ultra 275305,27,892,0.4327354260089686,0.33856502242152464
outdoor covers,5,77,0.2077922077922078,0.012987012987012988
Comforter,90,11262,0.2009412182560824,0.11010477712662049
ceiling fans with light,90,7323,0.1330055987983067,0.08521097910692339
organization,6,89,0.43820224719101125,0.02247191011235955
kids wall decor,2,146,0.06164383561643835,0
square tablecloths,9,155,0.14838709677419354,0.07096774193548387
behr premium plus 185001,19,362,0.39226519337016574,0.3839779005524862
bunk bed,76,5677,0.1194292760260701,0.12682754976219834
car amplifiers,4,73,0.1095890410958904,0.0821917808219178
pot filler,9,183,0.12021857923497267,0.18579234972677597
hamsa,4,63,0.4603174603174603,0.06349206349206349
outside storage,5,82,0.23170731707317074,0.0975609756097561
daybed with pop up trundle,29,496,0.16330645161290322,0.11693548387096774
grey dining set,8,144,0.1875,0.04861111111111111
dooney and bourke wallet,10,360,0.11388888888888889,0.027777777777777776
electric blanket,4,62,0.0967741935483871,0.03225806451612903
hanging chairs,80,4994,0.1341609931918302,0.3261914297156588
baby swing,15,234,0.3504273504273504,0.1623931623931624
fake bake,2,53,0.07547169811320754,0.018867924528301886
pop up trundle bed,5,78,0.20512820512820512,0.1282051282051282
living room table sets,5,90,0.3333333333333333,0.05555555555555555
sideboards,86,4430,0.13679458239277653,0.09345372460496613
coir mat,2,211,0.10426540284360189,0
